INDEX,INDEX_1,INDEX_1_1,DATE,OBJECT,RA,DEC,X_IMAGE,Y_IMAGE,SOURCES,TEMPLATE_PATH,SCIENCE_PATH,DIFFERENCE_PATH,PDF_PATH
377,712,380,2024-10-09,UGC11926,332.3797425,18.6813988,9712.0,4396.0,3,/data/transient/AUTOGLASS/Survey_xl106/template/NGC7241_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC7241_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC7241_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC7241_L_com_3_rpj_diff.pdf
378,711,381,2024-10-09,UGC11916,332.09055,18.4539753,10392.0,3842.0,23,/data/transient/AUTOGLASS/Survey_xl106/template/NGC7241_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC7241_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC7241_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC7241_L_com_3_rpj_diff.pdf
379,710,382,2024-10-09,UGC11916,332.09055,18.4539753,10392.0,3842.0,4,/data/transient/AUTOGLASS/Survey_xl106/template/NGC7241_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC7241_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC7241_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC7241_L_com_3_rpj_diff.pdf
380,709,384,2024-10-09,UGC03174,72.143484,0.242073,6028.0,5724.0,4,/data/transient/AUTOGLASS/Survey_xl106/template/UGC03174_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_UGC03174_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_UGC03174_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_UGC03174_L_com_3_rpj_diff.pdf
381,708,398,2024-10-09,UGC03147,71.957082,72.8598892,3332.0,8272.0,8,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1560_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1560_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1560_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1560_L_com_3_rpj_diff.pdf
382,707,385,2024-10-09,UGC03147,71.957082,72.8598892,3332.0,8272.0,5,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1560_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1560_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1560_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1560_L_com_3_rpj_diff.pdf
383,706,386,2024-10-09,UGC03127,70.107855,-2.0202305,6668.0,7804.0,101,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1637_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1637_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1637_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1637_L_com_3_rpj_diff.pdf
384,719,373,2024-10-09,UGC12154,340.149309,72.8639361,6052.0,5776.0,62,/data/transient/AUTOGLASS/Survey_xl106/template/UGC12154_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_UGC12154_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_UGC12154_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_UGC12154_L_com_3_rpj_diff.pdf
385,705,387,2024-10-09,UGC03127,70.107855,-2.0202305,6668.0,7804.0,3,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1637_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1637_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1637_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1637_L_com_3_rpj_diff.pdf
386,703,389,2024-10-09,UGC03090,69.2361,71.529099,5252.0,4920.0,3,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1560_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1560_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1560_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1560_L_com_3_rpj_diff.pdf
